"nameLast","nameFirst","playerID","Age","year","reliability","mPA","mAB","mR","mH","m2B","m3B","mHR","mRBI","mSB","mCS","mBB","mSO","mIBB","mHBP","mSH","mSF","mGIDP"
"Rogers","Eddie","rogered01",26,2004,0.01,200.00,179.00,25.00,48.00,10.00,1.00,6.00,24.00,3.00,1.00,17.00,31.00,1.00,2.00,1.00,1.00,5.00
"Rolen","Scott","rolensc01",29,2004,0.87,595.00,513.00,84.00,143.00,35.00,3.00,24.00,93.00,10.00,3.00,66.00,96.00,4.00,10.00,0.00,6.00,15.00
"Rollins","Jimmy","rolliji01",26,2004,0.88,615.00,558.00,78.00,149.00,32.00,7.00,10.00,56.00,23.00,8.00,47.00,92.00,3.00,2.00,5.00,3.00,9.00
"Rolls","Damian","rollsda01",27,2004,0.72,412.00,379.00,50.00,101.00,21.00,1.00,7.00,42.00,11.00,5.00,23.00,75.00,1.00,5.00,3.00,2.00,7.00
"Romano","Jason","romanja01",25,2004,0.33,229.00,205.00,31.00,52.00,10.00,1.00,4.00,21.00,6.00,1.00,18.00,41.00,1.00,2.00,2.00,2.00,4.00
"Romero","Mandy","romerma01",37,2004,0.04,204.00,181.00,26.00,48.00,10.00,1.00,5.00,23.00,3.00,1.00,17.00,33.00,1.00,4.00,1.00,1.00,5.00
"Ross","Cody","rossco01",24,2004,0.08,211.00,187.00,26.00,51.00,10.00,1.00,7.00,28.00,3.00,1.00,18.00,32.00,1.00,3.00,2.00,1.00,4.00
"Ross","Dave","rossda01",27,2004,0.39,271.00,239.00,36.00,64.00,14.00,1.00,12.00,34.00,2.00,1.00,25.00,57.00,1.00,4.00,1.00,2.00,6.00
"Rowand","Aaron","rowanaa01",27,2004,0.69,318.00,286.00,41.00,79.00,15.00,1.00,9.00,37.00,3.00,1.00,19.00,48.00,1.00,5.00,6.00,2.00,6.00
"Ruan","Wilkin","ruanwi01",26,2004,0.17,222.00,202.00,26.00,54.00,11.00,2.00,5.00,26.00,3.00,1.00,16.00,35.00,1.00,2.00,1.00,1.00,4.00
"Rushford","Jim","rushfji01",30,2004,0.22,208.00,187.00,25.00,45.00,9.00,1.00,5.00,23.00,2.00,1.00,17.00,31.00,1.00,2.00,1.00,1.00,5.00
"Ryan","Michael","ryanmi03",27,2004,0.24,235.00,210.00,34.00,62.00,14.00,1.00,9.00,31.00,4.00,2.00,20.00,38.00,1.00,2.00,1.00,2.00,7.00
"Ryan","Rob","ryanro02",31,2004,0.02,200.00,179.00,24.00,47.00,9.00,1.00,6.00,23.00,3.00,1.00,17.00,34.00,1.00,2.00,1.00,1.00,4.00
"Sadler","Donnie","sadledo01",29,2004,0.60,286.00,254.00,41.00,54.00,10.00,2.00,4.00,20.00,7.00,4.00,24.00,51.00,1.00,3.00,3.00,2.00,4.00
"Saenz","Olmedo","saenzol01",34,2004,0.59,218.00,194.00,23.00,48.00,12.00,1.00,6.00,23.00,1.00,1.00,15.00,37.00,1.00,6.00,1.00,2.00,5.00
"Salazar","Oscar","salazos01",26,2004,0.07,202.00,180.00,25.00,48.00,10.00,1.00,6.00,25.00,3.00,1.00,17.00,31.00,1.00,2.00,2.00,1.00,4.00
"Salmon","Tim","salmoti01",36,2004,0.86,567.00,484.00,71.00,126.00,30.00,2.00,18.00,67.00,5.00,2.00,70.00,98.00,3.00,8.00,0.00,5.00,10.00
"Sanchez","Alex","sanchal03",28,2004,0.81,543.00,497.00,61.00,141.00,20.00,7.00,4.00,40.00,38.00,16.00,32.00,74.00,1.00,3.00,7.00,4.00,6.00
"Sanchez","Freddy","sanchfr01",27,2004,0.17,219.00,198.00,30.00,52.00,10.00,1.00,5.00,25.00,3.00,1.00,17.00,36.00,1.00,2.00,1.00,1.00,4.00
"Sanchez","Rey","sanchre01",37,2004,0.81,423.00,392.00,44.00,104.00,13.00,3.00,2.00,34.00,4.00,1.00,19.00,44.00,2.00,2.00,6.00,4.00,12.00
"Sandberg","Jared","sandbja01",26,2004,0.70,318.00,284.00,39.00,68.00,17.00,1.00,11.00,42.00,2.00,1.00,29.00,87.00,2.00,2.00,2.00,1.00,6.00
"Sanders","Anthony","sandean01",30,2004,0.05,200.00,179.00,24.00,47.00,10.00,1.00,5.00,24.00,3.00,1.00,17.00,32.00,1.00,2.00,1.00,1.00,4.00
"Sanders","Deion","sandede02",37,2004,0.17,200.00,179.00,23.00,44.00,9.00,1.00,5.00,21.00,3.00,2.00,16.00,31.00,1.00,2.00,2.00,1.00,4.00
